SiO2,MgO,TiO2,Age_Ma,Latitude,Longitude,Setting,Rock_type,Sample,Source
47.12,5.18,4.37,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-44,McCoy-West 2010
45.7,7.62,4.14,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-46,McCoy-West 2010
45.23,6.79,4.15,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-47,McCoy-West 2010
47.22,6.39,3.77,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-48,McCoy-West 2010
45.68,7.64,4.12,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-49,McCoy-West 2010
45.75,6.3,4.25,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-51,McCoy-West 2010
46.28,5.12,3.62,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-53,McCoy-West 2010
52.29,5.24,2.67,91.0,-41.97830555555556,173.5,HOTSPOT,,AMB-54,McCoy-West 2010
45.62,7.6,3.78,91.0,-41.97830555555556,173.5,HOTSPOT,,AMC-5,McCoy-West 2010
47.01,6.14,3.48,91.0,-41.97830555555556,173.5,HOTSPOT,,AMF-6,McCoy-West 2010
56.5,2.07,2.14,91.0,-41.97830555555556,173.5,HOTSPOT,,AMG-10,McCoy-West 2010
52.36,15.23,0.41,30,11.36,37.11,HOTSPOT,,,
52.56,14.4,0.72,30,11.36,37.11,HOTSPOT,,,
52.27,14.58,0.6,30,11.36,37.11,HOTSPOT,,,
52.38,14.59,0.91,30,11.36,37.11,HOTSPOT,,,
52.7,15.2,0.33,30,10.96,38.16,HOTSPOT,,,
52.76,15.54,0.56,30,11.36,37.11,HOTSPOT,,,
52.93,14.48,0.65,30,10.84,37.04,HOTSPOT,,,
52.82,14.52,0.58,30,11.36,37.11,HOTSPOT,,,
52.9,14.01,0.64,30,10.84,37.04,HOTSPOT,,,
52.6,15.2,0.28,30,10.96,38.16,HOTSPOT,,,
52.13,14.93,0.51,30,11.36,37.11,HOTSPOT,,,
52.52,14.64,0.5,30,11.0,36.92,HOTSPOT,,,
52.41,15.18,0.45,30,11.36,37.11,HOTSPOT,,,
52.6,15.65,0.47,30,11.36,37.11,HOTSPOT,,,
