License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Qin, Ben; Fang, Huang; Shichun, Huang; Andre, Python; Yunfeng, Chen; J, ZhangZhou, 2022, ""Global mantle clinopyroxene data (major and trace elements)"", https://doi.org/10.25625/AVAW2Y, GRO.data, V2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATIONS,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ROCK NAME,ROCK TEXTURE,MINERAL,SPOT,RIM/CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SC(PPM),TI(PPM),V(PPM),CR(PPM),NI(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Petrography,Note,Labelled by LREE
[22766] YANG SHENG-HONG (2019),samp. A168,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,98.84,1356.65,372.48,153.53,296.27,0.0951,10.52,19.05,27.81,0.0197,0.575,1.699,9.36,1.695,8.28,2.61,0.368,2.95,0.514,3.16,0.654,1.86,0.292,1.63,0.261,0.94,0.00432,0.1187,0.124,0.0073,,,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,100.63,2208.28,442.91,89.33,298.24,0.181,10.81,23.52,41.35,0.1534,2.86,2.25,10.24,1.92,10,2.95,0.384,3.77,0.616,4.07,0.889,2.48,0.349,2.25,0.334,1.217,0.0119,0.217,0.555,0.177,,,
[22766] YANG SHENG-HONG (2019),samp. A141,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,120.63,1321.41,516.66,166.74,317.13,0,11.04,22.42,30.59,0.0182,0.42,1.731,9.39,1.758,8.9,2.819,0.488,3.45,0.618,4.07,0.878,2.34,0.334,1.932,0.314,1.102,0.011,0.1555,0.307,0.0462,,,
[22766] YANG SHENG-HONG (2019),samp. A168,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,106.06,1995.85,415.74,176.31,357.71,0.206,11.41,24.34,28.12,0.0595,1.628,2.122,10.68,2.042,10.4,3.2,0.509,3.64,0.652,4.27,0.912,2.56,0.402,2.33,0.343,0.931,0.01039,0.1338,0.229,0.0118,,,
[22766] YANG SHENG-HONG (2019),samp. A141,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,120.06,1751.36,502.05,154.35,302.84,0,12.56,25.44,36.19,0.0329,0.0545,2.056,10.24,1.933,10.01,3.041,0.596,3.78,0.663,4.59,0.992,2.734,0.381,2.409,0.371,1.162,0.00711,0.1436,0.2206,0.0589,,,
[22766] YANG SHENG-HONG (2019),samp. A271,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,93.31,3024.03,497.03,1325.9,438.32,1.291,11.7,22.84,66.03,0.655,3.84,1.678,9,1.951,10.2,2.87,0.489,3.56,0.572,4.08,0.836,2.467,0.348,2.22,0.337,1.236,0.0493,0.38,0.692,0.784,,,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,122.52,2022.32,500.93,92.83,280.63,1.262,11.65,29.37,60.99,0.1333,4.81,2.8,12.52,2.4,12.75,3.77,0.425,4.8,0.8,5.48,1.08,3.14,0.487,2.73,0.436,1.85,0.0122,0.612,0.443,0.1035,,,
[22766] YANG SHENG-HONG (2019),samp. A297,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,100.45,2550.03,474.51,1604.11,441.04,0,13.19,33.57,42.3,0.1426,0.485,5.71,24.27,3.93,18.18,5.06,0.617,5.64,0.951,6.03,1.279,3.43,0.462,2.91,0.4,1.084,0.0318,0.34,0.552,0.01565,,,
[22766] YANG SHENG-HONG (2019),samp. A141,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,110.61,1778.91,479.23,159.53,331.89,0,10.91,22.94,32.07,0.069,0.554,1.913,9.94,1.868,9.61,2.727,0.557,3.73,0.634,4.08,0.906,2.483,0.348,2.113,0.33,1.03,0.01073,0.2113,0.388,0.0714,,,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,115.4,2020,514.4,78.77,267.4,0.317,9.43,24.12,51.42,0.144,0.96,2.273,10.68,1.986,10.86,3.492,0.351,3.99,0.654,4.541,0.951,2.772,0.373,2.433,0.353,1.307,0.012,0.236,0.77,0.192,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,127.5,2111,495.3,69.28,236.6,0.056,12.01,26.49,51.33,0.064,0.309,2.779,11.84,2.167,12.18,3.734,0.438,4.132,0.687,5.014,0.999,2.927,0.417,2.735,0.38,1.645,0.004,0.158,0.297,0.064,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,128.4,2540,525.9,74.33,241.1,0.138,12.41,28.57,57.14,0.056,1.14,2.746,12.57,2.388,13.11,4.075,0.447,4.538,0.745,5.264,1.061,3.188,0.475,2.891,0.405,1.728,0.01,0.241,0.47,0.128,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,120.5,2364,518.6,75.37,250,0.081,11.85,28.14,66.92,0.04,0.646,2.77,12.84,2.462,13.84,3.934,0.443,4.468,0.736,5.236,1.086,3.093,0.449,2.861,0.387,1.979,0.01,0.21,0.37,0.076,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,122,2262,531.7,74.68,240.7,0.027,11.19,26.75,70.57,0.077,0.268,2.649,12.47,2.367,13.16,3.884,0.417,4.321,0.726,4.995,1.02,2.936,0.412,2.715,0.368,2.091,0.012,0.181,0.37,0.083,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,113.3,2048,509.5,74.95,282.4,0.267,10.11,23.81,52.55,0.161,1.524,2.4,11.24,2.118,11.57,3.312,0.386,3.892,0.623,4.439,0.897,2.512,0.407,2.362,0.357,1.603,0.016,0.235,0.76,0.118,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A106,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,110.5,2561,529.3,79.01,274.7,0.042,11.7,23.36,44.71,0.131,0.672,2.615,12.69,2.266,12.02,3.509,0.411,3.996,0.609,4.299,0.891,2.464,0.362,2.384,0.342,1.413,0.011,0.234,0.712,0.147,Phlogopite,biotite,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,94.18,2067,425,335,355.9,0.093,10.14,18.81,22.07,0.134,0.648,1.328,8.537,1.822,9.892,3.147,0.464,3.624,0.55,3.78,0.754,1.957,0.288,1.541,0.272,0.849,0.017,0.227,0.552,0.042,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,94.72,2329,443.8,343.2,343.5,0.442,10.95,19.4,25.38,0.064,2.044,1.22,8.691,1.805,10.04,3.141,0.465,3.206,0.566,3.947,0.76,2.152,0.289,1.93,0.248,0.963,0.015,0.195,0.239,0.015,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,86.88,2417,444.7,359.6,344.3,0.12,11.29,20.02,35.01,0.141,0.483,2.395,12.1,2.244,10.75,3.178,0.481,3.802,0.598,3.907,0.799,2.226,0.298,1.929,0.271,1.115,0.023,0.207,0.156,0.018,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,104.6,4084,488.4,389.7,375.2,0.243,12,23.09,55.05,0.846,2.235,1.958,10.79,2.258,12.26,3.747,0.581,4.125,0.676,4.6,0.908,2.561,0.348,2.256,0.319,1.631,0.073,0.365,0.509,0.29,,,
[22766] YANG SHENG-HONG (2019),samp. A238,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,118.1,2712,611.1,512.8,168.7,0.043,10.53,18.7,23.12,0.012,0.225,2.26,8.314,1.458,8.46,2.616,0.482,2.933,0.489,3.515,0.718,2.043,0.298,2.039,0.28,0.754,,0.194,0.164,0.042,,,
[22766] YANG SHENG-HONG (2019),samp. A271,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,105.7,2013,435.4,1336,374.9,1.467,10.77,20.98,37.44,0.016,2.195,0.605,5.658,1.715,10.75,3.226,0.499,3.712,0.606,4.244,0.77,2.315,0.285,1.825,0.216,1.493,0.006,0.118,0.03,,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,119.79,1655.87,691.3,55.51,244.39,0.049,8.69,20.5,24.06,0.0296,0.396,1.41,7.7,1.399,7.45,2.14,0.323,2.81,0.528,3.6,0.768,2.17,0.327,1.95,0.289,0.876,0.0121,0.1429,0.199,0.0343,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,119.12,1920.19,651.26,51.29,259.42,0,9.67,20.17,26.04,0.0899,1.122,1.502,7.76,1.396,7.49,2.51,0.372,3.01,0.531,3.39,0.764,2.24,0.323,1.99,0.319,1,0.0184,0.214,0.255,0.0577,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,130.48,1836.21,690.3,49.14,217.46,0.0332,11.31,24.27,30.01,0.0484,0.555,1.695,8.89,1.659,9.57,3.24,0.421,4.1,0.672,4.25,0.852,2.59,0.373,2.1,0.365,1.028,0.0126,0.1292,0.1926,0.0287,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,125.35,1666.99,708.95,55.67,244.12,0.067,8.89,21.56,29.06,0.0682,0.347,1.529,8.08,1.61,8.26,2.64,0.416,3.36,0.569,3.6,0.732,2.17,0.34,1.94,0.326,1.06,0.0051,0.1381,0.237,0.0396,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,145.97,1981.56,775.99,57.49,226.66,0,10.98,26.64,32.36,0.0405,0.231,1.93,10.26,1.93,10.36,3.69,0.453,4.08,0.681,4.7,0.981,2.84,0.399,2.3,0.347,1.22,0.006,0.1142,0.0733,0.0181,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,143.31,1613.64,649.51,40.67,235.74,0,9.65,21.01,26.18,0.0631,0.662,1.346,6.76,1.317,7.07,2.35,0.329,3.17,0.531,3.64,0.672,2.28,0.291,1.89,0.304,0.957,0,0.1773,0.314,0.02,,,No metasomatism
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,94.85,1658,546.2,25.07,131.5,,8.522,17.07,19.89,0.03,0.221,1.492,6.867,1.329,7.337,2.396,0.343,2.624,0.463,3.319,0.685,2.03,0.265,1.805,0.25,0.701,0.008,0.094,0.188,0.041,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,98.07,1776,553.7,25.69,131.8,,8.835,17.95,21.82,0.04,0.142,1.595,7.046,1.393,7.677,2.459,0.365,2.86,0.5,3.38,0.74,2.084,0.287,1.941,0.259,0.756,0.009,0.093,0.117,0.037,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,91.37,2226,467.2,370.4,317.1,,10.88,20.05,33.16,0.033,0.384,1.291,9.672,2.004,11.13,3.715,0.554,3.857,0.564,4.01,0.805,2.145,0.302,1.923,0.289,1.14,0.014,0.17,0.135,0.032,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,89.43,1907,466.8,373.4,325.1,,9.591,17.22,27.53,0.163,0.359,1.038,7.994,1.894,10.07,2.973,0.504,3.212,0.547,3.3,0.671,1.881,0.244,1.59,0.171,1.168,0.012,0.259,0.517,0.134,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,99.05,2741,461.2,346.6,347.4,,12.17,22.17,45.29,0.106,0.458,1.371,9.044,2.116,11.76,3.842,0.564,4.035,0.65,4.298,0.863,2.367,0.321,2.115,0.277,1.575,0.017,0.255,0.233,0.052,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,128.9,2738,489.7,384.2,358.4,,12.4,28.23,47.42,0.11,0.129,1.57,9.622,2.256,12.69,4.15,0.594,4.683,0.774,5.219,1.075,2.927,0.441,2.693,0.342,1.58,0.017,0.106,0.136,0.013,,,
[22766] YANG SHENG-HONG (2019),samp. A206,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,111.6,2210,474.4,375.2,367.8,,11.65,23.91,42.5,0.026,0.221,1.42,9.818,2.147,11.79,3.721,0.54,4.163,0.65,4.509,0.944,2.614,0.373,2.275,0.302,1.538,0.008,0.189,0.194,0.005,,,
[22766] YANG SHENG-HONG (2019),samp. A238,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,103.5,2156,526.1,503.5,184.8,0.248,6.82,14.59,19.03,0.013,,1.687,6.106,1.108,6.416,1.922,0.339,2.399,0.388,2.652,0.559,1.664,0.241,1.725,0.251,0.799,0.014,0.227,0.487,0.08,,,
[22766] YANG SHENG-HONG (2019),samp. A238,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,126,2687,639.9,518.4,170.5,,10.07,19.79,24.52,0.017,0.295,2.367,8.674,1.537,8.673,2.701,0.552,3.24,0.57,3.719,0.766,2.173,0.316,2.065,0.313,0.968,0.006,0.179,0.151,0.044,,,
[22766] YANG SHENG-HONG (2019),samp. A238,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,105.1,2552,464.6,768.9,166,,10.81,15.9,15.95,0.017,,2.412,8.307,1.373,7.589,2.301,0.533,2.603,0.437,2.894,0.627,1.752,0.231,1.783,0.254,0.47,0.007,0.134,0.176,0.039,,,
[22766] YANG SHENG-HONG (2019),samp. A271,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,core,secondary,94.75,1997,408.5,1264,394.3,,10.87,20.55,34.56,0.013,1.184,1.103,6.758,1.691,9.671,3.289,0.418,3.443,0.555,3.717,0.749,2.093,0.294,1.963,0.254,1.132,0.01,0.159,0.149,0.037,,,
[22766] YANG SHENG-HONG (2019),samp. A271,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,96.56,2068,429.4,1286,349.2,,10.4,22.43,33.13,0.01,0.505,0.859,6.93,1.751,10.26,3.559,0.495,3.953,0.602,4.226,0.795,2.381,0.319,1.999,0.251,1.206,0.002,0.129,0.046,0.003,,,
[22766] YANG SHENG-HONG (2019),samp. A1,INTRAPLATE VOLCANICS,KAAPVAAL CRATON_PROTEROZOIC / SOUTH AFRICA / BUSHVELD IGNEOUS COMPLEX / BUSHVELD MAIN ZONE,"RUSTENBURG PLATINUM MINES, SK-2 DRILL CORES",-25.7,-25.7,27.2,27.2,subaerial,PYROXENITE,,CLINOPYROXENE,,rim,secondary,143.98,1641.52,778.28,56.53,221.97,0,10.96,26.33,29.65,0,0.112,1.683,9.76,1.97,10.17,3.1,0.431,4.31,0.74,4.68,0.883,2.88,0.38,2.3,0.381,1.03,0,0.1135,0.0568,0.00805,,,
